timestamp,atm_30,atm_7,atm_90,atm_180,BTC,25delta_call_iv_7,25delta_put_iv_7
2022-11-07 00:00:00+00:00,52.07949944,54.78788217,56.55164506,61.26364997,20593.72676,53.26,65.53
2022-11-08 00:00:00+00:00,70.85771221,84.81500691,65.90850371,66.81280788,18534.26895,67.63,85.71
2022-11-09 00:00:00+00:00,101.2135114,139.8862884,83.38811498,77.64660584,15863.34444,98.16,143.85
2022-11-10 00:00:00+00:00,79.18913226,96.12926382,73.10760225,71.62738669,17571.8456,81.83,109.53
2022-11-11 00:00:00+00:00,82.64914843,88.179162,76.34242926,72.42822859,17008.5846,76.24,116.66
2022-11-12 00:00:00+00:00,79.84017986,81.55103566,76.35256063,72.1011328,16798.10589,74.52,111.66
2022-11-13 00:00:00+00:00,84.24159076,89.54954,79.65629435,75.17128178,16346.55941,78.45,115.36
2022-11-14 00:00:00+00:00,79.4964158,90.89803749,72.7327107,70.42203718,16634.91512,79.69,112.42
2022-11-15 00:00:00+00:00,73.18760304,72.82033971,70.38329156,68.25777383,16867.77875,69.23,90.25
2022-11-16 00:00:00+00:00,78.05419664,77.715342,75.42636181,71.81811536,16663.07851,69.6,94.71
2022-11-17 00:00:00+00:00,68.19445547,65.62850411,70.59232875,70.48837045,16686.21577,65.03,84.16
2022-11-18 00:00:00+00:00,65.68600994,60.458892,69.06092975,70.70985234,16695.35177,59.24,82.73
2022-11-19 00:00:00+00:00,62.97921488,62.99737577,67.59372724,69.49740689,16717.7103,55.45,80.61
2022-11-20 00:00:00+00:00,70.20825467,71.28605371,70.91774325,71.5981632,16287.91533,59.8,91.87
2022-11-21 00:00:00+00:00,73.11114199,78.40500389,71.76742603,71.9301605,15797.53062,78,96.19
2022-11-22 00:00:00+00:00,70.84466515,70.5798616,70.58713001,70.41413509,16178.8837,66.48,81.66
2022-11-23 00:00:00+00:00,65.76196373,62.71808097,68.20501698,69.07858826,16622.30738,62.59,78.98
2022-11-24 00:00:00+00:00,63.47991571,57.79726129,66.24587166,68.11572166,16589.33196,57.55,74.04
2022-11-25 00:00:00+00:00,58.58175102,50.9047736,63.70249171,66.68345312,16526.63232,53.88,68.42
2022-11-26 00:00:00+00:00,59.76265234,53.95921051,63.98570911,66.49088393,16470.6079,50.09,63.26
2022-11-27 00:00:00+00:00,60.99726078,58.60007709,64.07853991,66.5336191,16449.99695,51.28,68.14
2022-11-28 00:00:00+00:00,60.55068867,55.95967691,63.251234,66.23634286,16221.61975,58.73,71.35
2022-11-29 00:00:00+00:00,57.54596869,51.7433664,61.36603491,64.92183113,16447.88399,56.01,64.8
2022-11-30 00:00:00+00:00,56.4615171,53.26929889,60.57109891,64.61196565,17178.31541,53.89,56.87
2022-12-01 00:00:00+00:00,52.17602709,46.91453422,58.86959807,63.87082179,16962.9864,49.64,55.28
2022-12-02 00:00:00+00:00,51.2153083,43.5368384,59.09885327,63.54706796,17076.29878,45.44,50.1
2022-12-03 00:00:00+00:00,52.84608584,48.48508137,60.32559581,64.10782186,16915.7101,42.81,46.48
2022-12-04 00:00:00+00:00,52.78297464,47.21316543,59.90323313,64.10402489,17137.59716,44.98,51.66
2022-12-05 00:00:00+00:00,51.01057344,46.6820234,59.2872003,63.49733287,16974.70959,44.49,54.05
2022-12-06 00:00:00+00:00,51.07090651,50.57331371,58.16330521,63.10582504,17085.27599,47.41,55.72
2022-12-07 00:00:00+00:00,53.2964986,50.9215528,59.54885275,63.89843888,16850.77252,53.38,58.96
2022-12-08 00:00:00+00:00,48.56250626,49.54886043,57.23009099,62.50348962,17243.5175,46.09,56.45
2022-12-09 00:00:00+00:00,50.52979703,47.29766,58.4176629,63.62218439,17137.65917,47.02,54.87
2022-12-10 00:00:00+00:00,51.14641213,47.24100046,58.92319837,63.68057207,17124.01548,45.97,53.75
2022-12-11 00:00:00+00:00,53.30402452,56.75685051,59.97902656,64.13263741,17102.8394,51.63,59.15
2022-12-12 00:00:00+00:00,52.90233333,54.24586957,59.91600317,64.31237537,17211.81402,55.8,65.06
2022-12-13 00:00:00+00:00,51.28857897,52.9600344,59.1103497,63.42183778,17783.96009,,
2022-12-14 00:00:00+00:00,46.8222881,40.07560514,56.16484519,61.88990403,17827.32389,,
2022-12-15 00:00:00+00:00,48.95069451,40.35735601,58.22620044,62.81811116,17371.06238,,
2022-12-16 00:00:00+00:00,54.5003019,50.34333,60.96639789,64.8038869,16626.23634,,
2022-12-17 00:00:00+00:00,52.72576223,45.01960857,60.29711726,64.61718342,16800.22995,,
