Date,BTC,Strike_25d,buy_25d,expiration_strike,avg_BTC_price,ROI,atm_7_perc,25toatm_7_perc
2023-05-12,26817.23548,28107.123772308787,0,26876.99632,27008.47709857143,-0.09005061201099507,0.05,0.8916666666666667
2023-05-19,26876.99632,27924.142658635585,0,26719.11655,26784.807769999996,-0.10255148192911587,0.008333333333333333,0.5416666666666666
2023-05-26,26719.11655,27727.996519136108,1,27247.55068,27389.49104714286,-0.10221650269476695,0.025,0.16666666666666666
2023-06-02,27247.55068,28244.309488214214,0,26488.60896,26644.09293285714,-0.10591374329309693,0.008333333333333333,0.9083333333333333
2023-06-09,26488.60896,27442.74014235741,0,26322.86397,25798.074377142857,-0.08436871026145272,0.025,0.5916666666666667
2023-06-16,26322.86397,27398.987032842608,0,30622.93365,28366.68009,0.6763531227974208,0.09166666666666666,0.7083333333333334
2023-07-14,30326.14148,31565.60609321787,0,29918.06225,30025.80843714286,-0.09965991338429508,0.041666666666666664,0.975
2023-07-21,29918.06225,30928.21503882172,0,29320.93635,29442.240722857143,-0.10532419015798682,0.025,0.375
2023-07-28,29320.93635,30255.110990562825,0,29074.55255,29276.169091428572,-0.1068549334921685,0.008333333333333333,0.9583333333333334
2023-08-04,29074.55255,29876.328924227586,1,29401.40286,29349.744157142854,-0.09747827466946749,0.016666666666666666,0.26666666666666666
2023-08-11,29401.40286,30253.704308168984,0,26047.6557,28383.873814285715,-0.2539452988941251,0.008333333333333333,1.0
2023-08-25,26051.0277,26935.453510768195,0,25802.67758,26422.80287285714,-0.1365060819317399,0.041666666666666664,1.0
2023-09-01,25802.67758,26569.32327307095,0,25903.45582,25900.43906714286,-0.06810873451737762,0.041666666666666664,0.8833333333333333
2023-09-08,25903.45582,26677.32399844705,0,26647.22341,26019.010290000002,0.13345834872148757,0.075,0.7666666666666667
2023-09-22,26580.94824,27315.037416238945,0,26918.04726,26518.65567,0.023379467475384046,0.025,0.9
2023-09-29,26918.04726,27667.17871911947,0,27945.92337,27596.305527142857,0.17914149673512572,0.05,0.8416666666666667
2023-10-06,27945.92337,28735.0069939764,0,26846.40896,27332.501464285713,-0.11825026681441379,0.06666666666666667,0.6583333333333333
2023-12-29,42077.03053,44148.85514332731,1,43900.107,43532.12881714286,-0.09584436752073495,0.7833333333333333,0.20833333333333334
2024-02-02,42959.704,44578.67049596751,1,46434.795,43695.08557142857,0.5258479779634517,0.13333333333333333,0.26666666666666666
2024-02-23,50924.505,53462.15172154593,1,62049.114,56349.286,1.5697403148023754,0.5666666666666667,0.20833333333333334
2024-04-19,64562.31,69543.40103023821,1,64369.311,65102.56642857142,-0.0803037842337367,0.8166666666666667,0.2
2024-05-31,68138.771,71053.10767015263,1,71079.68,69477.95842857142,-0.07278679593817307,0.08333333333333333,0.19166666666666668
2024-06-14,67117.496,69908.04125283187,1,63705.715,65543.53742857142,-0.12763714187430333,0.025,0.19166666666666668
