Date,BTC,Strike_25d,buy_25d,expiration_strike,avg_BTC_price,ROI,atm_7_perc,25toatm_7_perc
2023-05-12,26817.23548,25643.552859414787,0,26876.99632,27008.47709857143,0.00922127056785069,0.05,0.9416666666666667
2023-05-26,26719.11655,25717.075049158113,0,27247.55068,27389.49104714286,0.0030101212841023434,0.025,0.8166666666666667
2023-06-09,26488.60896,25535.19217174882,0,26322.86397,25798.074377142857,0.0158858164793201,0.025,0.95
2023-07-14,30326.14148,29247.58162849361,0,29918.06225,30025.80843714286,0.011429572528316207,0.041666666666666664,0.9333333333333333
2023-07-28,29320.93635,28506.81278822325,0,29074.55255,29276.169091428572,0.007203953548269008,0.008333333333333333,0.8583333333333333
2023-08-11,29401.40286,28618.27364359942,0,26047.6557,28383.873814285715,-0.07484590166815305,0.008333333333333333,1.0
2023-08-18,26047.6557,24967.400123959273,0,26051.0277,26147.65727714286,0.009439923884256329,0.48333333333333334,0.9666666666666667
2023-08-25,26051.0277,25236.161792995565,0,25802.67758,26422.80287285714,0.004088816124825988,0.041666666666666664,1.0
2023-09-01,25802.67758,25051.53563546064,0,25903.45582,25900.43906714286,0.006184559081088543,0.041666666666666664,0.9416666666666667
2023-09-08,25903.45582,25148.06866895617,0,26647.22341,26019.010290000002,0.0060260641842038625,0.075,0.9
2023-09-22,26580.94824,25889.711701388896,0,26918.04726,26518.65567,0.006966837423079564,0.025,0.8166666666666667
2023-09-29,26918.04726,26187.782160888655,0,27945.92337,27596.305527142857,0.00034139371454429087,0.05,0.8416666666666667
2023-10-27,33916.76424,32553.435475543396,0,34740.11733,34699.41028857143,0.009159256466312243,0.8083333333333333,0.7833333333333333
2023-11-03,34740.11733,33353.54171702419,0,37327.71401,35765.669265714285,0.00828400968380894,0.9,0.35
2023-11-10,37327.71401,35709.83863100729,1,36549.85059,36711.272228571426,0.01598328638094083,0.925,0.14166666666666666
2023-11-17,36549.85059,34998.7784322007,0,37727.33703,37133.11789,0.01663672041571947,0.8083333333333333,0.38333333333333336
2023-12-29,42077.03053,40262.734331614665,0,43900.107,43532.12881714286,0.008991840980515196,0.7833333333333333,0.4083333333333333
2024-01-05,43900.107,41002.46717874892,0,45862.531,45147.46771428571,0.028613834791721197,1.0,0.35833333333333334
2024-01-12,45862.531,43692.05358309554,0,41296.879,42628.74842857143,-0.03811841780680657,0.825,0.5416666666666666
2024-01-19,41296.879,39516.221723782284,0,40116.114,40538.157,0.015772945188807803,0.325,0.9166666666666666
2024-01-26,40116.114,38521.797032891,0,42959.704,42516.121857142854,-0.0047114374812118045,0.18333333333333332,0.9666666666666667
2024-03-01,62049.114,58878.93074418421,0,67398.806,65271.365,0.00720264179634396,0.9166666666666666,0.225
2024-03-08,67398.806,63513.99486798051,0,67158.355,70721.57728571429,0.007504059042472423,0.8916666666666667,0.5583333333333333
2024-03-15,67158.355,62677.7356371149,0,65857.374,66096.28728571428,0.02958039692146506,0.8833333333333333,0.7666666666666667
2024-03-22,65857.374,61502.29422910446,0,69980.045,68183.66,0.01829467509076514,0.8,0.975
2024-03-29,69980.045,65434.965763509885,0,67090.386,67985.26028571428,0.02519164246737349,0.6916666666666667,1.0
2024-04-05,67090.386,62638.17357809561,0,70740.507,70133.11342857142,0.006177648361724903,0.6666666666666666,0.9833333333333333
2024-04-12,70740.507,66171.68575397947,0,64562.31,64369.94085714286,0.01867835403192051,0.5666666666666667,0.9833333333333333
2024-04-19,64562.31,60424.456418389185,0,64369.311,65102.56642857142,0.032201914241229236,0.8166666666666667,0.5083333333333333
2024-04-26,64369.311,60556.98244427896,0,59318.138,60742.132,0.011034215688223749,0.26666666666666666,1.0
2024-05-10,62974.007,59919.528835169505,0,66155.012,63012.20585714286,0.012246783447281872,0.16666666666666666,0.9
2024-05-24,67118.97,63209.8253898683,0,68138.771,68302.374,0.01067579669641641,0.13333333333333333,1.0
2024-07-26,67067.055,63225.67440856688,1,64428.63,66684.36985714285,0.0013059033088691266,0.9416666666666667,0.075
2024-08-09,61062.29,58065.17417484605,0,58430.798,59596.35214285715,-5.396029187215825e-05,0.7833333333333333,0.26666666666666666
2024-09-06,55742.099,52940.474219653115,0,57964.236,56240.486428571436,0.02730581970699669,0.9083333333333333,0.26666666666666666
2024-09-13,57964.236,55297.44181830649,0,63331.542,60466.744999999995,0.0008666584135134107,0.5916666666666667,0.7833333333333333
2024-10-11,60648.873,58320.884503537185,0,67901.116,65438.411714285714,-0.009404707422858536,0.08333333333333333,0.9
2024-11-01,69389.898,65281.2609283665,0,75874.859,71413.6552857143,0.022497273946509227,0.975,0.425
2024-11-15,88051.106,83733.43029162724,0,98958.903,93634.15114285714,-0.00022228152644576183,0.7916666666666666,0.25
2024-11-22,98958.903,94021.39210787811,1,95925.208,96130.80700000002,0.017970049249215487,0.8916666666666667,0.08333333333333333
2024-12-06,98404.762,93820.61304493337,0,100251.965,99227.64528571429,0.009688692198476949,0.4666666666666667,0.925
2025-01-03,98085.45367,94179.33360077081,0,94744.92736,96856.08732,0.013285298970950515,0.125,0.825
2025-01-10,94744.92736,90461.03977807536,0,104167.9247,97795.79691571428,0.003317536475821417,0.39166666666666666,0.9333333333333333
2025-01-17,104167.9247,99056.68683322184,1,104746.026,103806.30984285715,0.0365242571357728,0.9333333333333333,0.016666666666666666
2025-02-28,84391.49973,80050.38615447943,0,86823.18798,88787.76259571429,0.00021780774102855195,0.23333333333333334,1.0
2025-03-07,86823.18798,82285.8512455346,0,84019.44429,82503.42065571428,0.027287515884377618,0.6,0.975
